# Show ID, Episode Number Overall, Season Number, Episode Number in Season, First Air Date, Length, Episode Title, Episode Summary
#-----------------------------------------------------------------------------------------------------------------------------------
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  1, 1,  1, 17 Apr 2011, 01:01:42,  "Winter is Coming"                              , "Lord Eddard Stark, ruler of the North, is summoned to court by his old friend, King Robert Baratheon, to serve as the King's Hand. Eddard reluctantly agrees after learning of a possible threat to the King's life. Eddard's bastard son Jon Snow must make a painful decision about his own future, while in the distant east Viserys Targaryen plots to reclaim his father's throne, usurped by Robert, by selling his sister in marriage."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  2, 1,  2, 24 Apr 2011, 00:55:22,  "The Kingsroad"                                 , "An incident on the Kingsroad threatens Eddard and Robert's friendship. Jon and Tyrion travel to the Wall, where they discover that the reality of the Night's Watch may not match the heroic image of it."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  3, 1,  3, 01 May 2011, 00:57:18,  "Lord Snow"                                     , "Jon Snow attempts to find his place amongst the Night's Watch. Eddard and his daughters arrive at King's Landing."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  4, 1,  4, 08 May 2011, 00:55:43,  "Cripples, Bastards, and Broken Things"         , "Tyrion stops at Winterfell on his way home and gets a frosty reception from Robb Stark. Eddard's investigation into the death of his predecessor gets underway."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  5, 1,  5, 15 May 2011, 00:54:19,  "The Wolf and the Lion"                         , "Catelyn's actions on the road have repercussions for Eddard. Tyrion enjoys the dubious hospitality of the Eyrie."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  6, 1,  6, 22 May 2011, 00:52:42,  "A Golden Crown"                                , "Viserys is increasingly frustrated by the lack of progress towards gaining his crown."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  7, 1,  7, 29 May 2011, 00:57:50,  "You Win or You Die"                            , "Eddard's investigations in King's Landing reach a climax and a dark secret is revealed."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  8, 1,  8, 05 Jun 2011, 00:58:13,  "The Pointy End"                                , "Tyrion joins his father's army with unexpected allies. Events in King's Landing take a turn for the worse as Arya's lessons are put to the test."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2,  9, 1,  9, 12 Jun 2011, 00:56:19,  "Baelor"                                        , "Catelyn must negotiate with the irascible Lord Walder Frey."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 10, 1, 10, 19 Jun 2011, 00:52:40,  "Fire and Blood"                                , "Daenerys must realize her destiny. Jaime finds himself in an unfamiliar predicament."

415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 11, 2,  1, 01 Apr 2012, 00:52:44,                           "The North Remembers"  , "War grips the continent of Westeros. As Tyrion Lannister tries to take his strong-willed nephew in hand in King's Landing, Stannis Baratheon launches his own campaign to take the Iron Throne with the help of a mysterious priestess. In the east, Daenerys must lead her retinue through a desolate wasteland whilst beyond the Wall the Night's Watch seeks the aid of a wildling."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 12, 2,  2, 08 Apr 2012, 00:53:33,                               "The Night Lands"  , "Stannis uses Ser Davos to seek out new allies for his war with the Lannisters. On the road north, Arya confides in Gendry. Robb Stark sends Theon Greyjoy to win an alliance with his father and the fierce warriors of the Iron Islands. Cersei and Tyrion clash on how to rule in King's Landing."
415EA8BD-5D2C48BB-AEB5AE43-05AFC5A2, 13, 2,  3, 15 Apr 2012, 00:52:48,                    "What is Dead May Never Die"  , "Catelyn Stark treats with King Renly in the hope of winning an alliance. Tyrion undertakes a complex plan in King's Landing to expose an enemy. At Winterfell, Bran's dreams continue to trouble him."
